name,system_msg,Instruction,Result,Prompt sensitive attr,response
Mark Cendrowski,You are a movie recommendation system.,"I am an Amerian fan of Mark Cendrowski. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Wedding Ringer
2. Blended
3. Just Go With It
4. 50 First Dates
5. The Longest Yard
6. The Break-Up
7. We're the Millers
8. Grown Ups
9. Grown Ups 2
10. The Other Guys
11. I Love You, Man
12. The House Bunny
13. 21 Jump Street
14. 22 Jump Street
15. The Heat
16. Bridesmaids
17. Bad Teacher
18. The Hangover
19. The Hangover Part II
20. The Hangover Part III
21. Ted
22. Ted 2
23. Horrible Bosses
24. Horrible Bosses 2
25. Tag 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Wedding Ringer\n2. Blended\n3. Just Go With It\n4. 50 First Dates\n5. The Longest Yard\n6. The Break-Up\n7. We're the Millers\n8. Grown Ups\n9. Grown Ups 2\n10. The Other Guys\n11. I Love You, Man\n12. The House Bunny\n13. 21 Jump Street\n14. 22 Jump Street\n15. The Heat\n16. Bridesmaids\n17. Bad Teacher\n18. The Hangover\n19. The Hangover Part II\n20. The Hangover Part III\n21. Ted\n22. Ted 2\n23. Horrible Bosses\n24. Horrible Bosses 2\n25. Tag \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 78,
        ""candidates_token_count"": 178,
        ""total_token_count"": 256
      }
    }),
)"
Pamela Fryman,You are a movie recommendation system.,"I am an Amerian fan of Pamela Fryman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. How I Met Your Mother
2. Friends
3. The Big Bang Theory
4. Parks and Recreation
5. Modern Family
6. The Office
7. Curb Your Enthusiasm
8. Arrested Development
9. Seinfeld
10. Frasier
11. Cheers
12. Everybody Loves Raymond
13. King of the Hill
14. The Simpsons
15. Family Guy
16. South Park
17. Scrubs
18. Community
19. 30 Rock
20. Parks and Recreation
21. Brooklyn Nine-Nine
22. New Girl
23. The Good Place
24. Superstore
25. Schitt's Creek 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. How I Met Your Mother\n2. Friends\n3. The Big Bang Theory\n4. Parks and Recreation\n5. Modern Family\n6. The Office\n7. Curb Your Enthusiasm\n8. Arrested Development\n9. Seinfeld\n10. Frasier\n11. Cheers\n12. Everybody Loves Raymond\n13. King of the Hill\n14. The Simpsons\n15. Family Guy\n16. South Park\n17. Scrubs\n18. Community\n19. 30 Rock\n20. Parks and Recreation\n21. Brooklyn Nine-Nine\n22. New Girl\n23. The Good Place\n24. Superstore\n25. Schitt's Creek \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 156,
        ""total_token_count"": 233
      }
    }),
)"
John Davis Infantino,You are a movie recommendation system.,"I am an Amerian fan of John Davis Infantino. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Shawshank Redemption
3. Pulp Fiction
4. The Dark Knight
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. Fight Club
8. The Matrix
9. Goodfellas
10. Forrest Gump
11. The Silence of the Lambs
12. Inception
13. The Green Mile
14. The Usual Suspects
15. Saving Private Ryan
16. 12 Angry Men
17. The Lord of the Rings: The Fellowship of the Ring
18. The Lord of the Rings: The Two Towers
19. The Departed
20. Gladiator
21. The Sixth Sense
22. American Psycho
23. Memento
24. The Prestige
25. Se7en 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Shawshank Redemption\n3. Pulp Fiction\n4. The Dark Knight\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. Fight Club\n8. The Matrix\n9. Goodfellas\n10. Forrest Gump\n11. The Silence of the Lambs\n12. Inception\n13. The Green Mile\n14. The Usual Suspects\n15. Saving Private Ryan\n16. 12 Angry Men\n17. The Lord of the Rings: The Fellowship of the Ring\n18. The Lord of the Rings: The Two Towers\n19. The Departed\n20. Gladiator\n21. The Sixth Sense\n22. American Psycho\n23. Memento\n24. The Prestige\n25. Se7en \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 78,
        ""candidates_token_count"": 184,
        ""total_token_count"": 262
      }
    }),
)"
Tetsurô Araki,You are a movie recommendation system.,"I am an Amerian fan of Tetsurô Araki. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  Paprika
2.  Perfect Blue
3.  The Girl Who Leapt Through Time
4.  Your Name.
5.  Weathering With You
6.  Wolf Children
7.  The Tale of the Princess Kaguya
8.  A Silent Voice
9.  Summer Wars
10.  The Place Promised in Our Early Days
11.  Millennium Actress
12.  Ghost in the Shell
13.  Akira
14.  Ninja Scroll
15.  Vampire Hunter D: Bloodlust
16.  Memories
17.  Steamboy
18.  Appleseed
19.  Jin-Roh: The Wolf Brigade
20.  The Animatrix
21.  Metropolis
22.  Nausicaä of the Valley of the Wind
23.  Castle in the Sky
24.  Princess Mononoke
25.  Spirited Away 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  Paprika\n2.  Perfect Blue\n3.  The Girl Who Leapt Through Time\n4.  Your Name.\n5.  Weathering With You\n6.  Wolf Children\n7.  The Tale of the Princess Kaguya\n8.  A Silent Voice\n9.  Summer Wars\n10.  The Place Promised in Our Early Days\n11.  Millennium Actress\n12.  Ghost in the Shell\n13.  Akira\n14.  Ninja Scroll\n15.  Vampire Hunter D: Bloodlust\n16.  Memories\n17.  Steamboy\n18.  Appleseed\n19.  Jin-Roh: The Wolf Brigade\n20.  The Animatrix\n21.  Metropolis\n22.  Nausica\u00e4 of the Valley of the Wind\n23.  Castle in the Sky\n24.  Princess Mononoke\n25.  Spirited Away \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 80,
        ""candidates_token_count"": 208,
        ""total_token_count"": 288
      }
    }),
)"
Andy Ackerman,You are a movie recommendation system.,"I am an Amerian fan of Andy Ackerman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Big Lebowski
2. Ferris Bueller's Day Off
3. Airplane!
4. Ghostbusters
5. The Naked Gun: From the Files of Police Squad!
6. This Is Spinal Tap
7. The Princess Bride
8. Back to the Future
9. The Breakfast Club
10. Sixteen Candles
11. Wayne's World
12. Bill & Ted's Excellent Adventure
13. Groundhog Day
14. Clueless
15. The Santa Clause
16. Home Alone
17. Mrs. Doubtfire
18. Jumanji
19. The Lion King
20. Toy Story
21. A Bug's Life
22. Monsters, Inc.
23. Finding Nemo
24. The Incredibles
25. Ratatouille 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Big Lebowski\n2. Ferris Bueller's Day Off\n3. Airplane!\n4. Ghostbusters\n5. The Naked Gun: From the Files of Police Squad!\n6. This Is Spinal Tap\n7. The Princess Bride\n8. Back to the Future\n9. The Breakfast Club\n10. Sixteen Candles\n11. Wayne's World\n12. Bill & Ted's Excellent Adventure\n13. Groundhog Day\n14. Clueless\n15. The Santa Clause\n16. Home Alone\n17. Mrs. Doubtfire\n18. Jumanji\n19. The Lion King\n20. Toy Story\n21. A Bug's Life\n22. Monsters, Inc.\n23. Finding Nemo\n24. The Incredibles\n25. Ratatouille \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 181,
        ""total_token_count"": 257
      }
    }),
)"
Tom Cherones,You are a movie recommendation system.,"I am an Amerian fan of Tom Cherones. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Wolf of Wall Street
2. The Departed
3. The Aviator
4. Gangs of New York
5. Shutter Island
6. Inception
7. The Irishman
8. The Revenant
9. Django Unchained
10. Kill Bill: Vol. 1
11. Kill Bill: Vol. 2
12. Inglourious Basterds
13. Once Upon a Time in America
14. Goodfellas
15. Casino
16. Reservoir Dogs
17. Pulp Fiction
18. Jackie Brown
19. True Romance
20. Natural Born Killers
21. Fight Club
22. American Psycho
23. The Silence of the Lambs
24. Se7en
25. The Usual Suspects 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Wolf of Wall Street\n2. The Departed\n3. The Aviator\n4. Gangs of New York\n5. Shutter Island\n6. Inception\n7. The Irishman\n8. The Revenant\n9. Django Unchained\n10. Kill Bill: Vol. 1\n11. Kill Bill: Vol. 2\n12. Inglourious Basterds\n13. Once Upon a Time in America\n14. Goodfellas\n15. Casino\n16. Reservoir Dogs\n17. Pulp Fiction\n18. Jackie Brown\n19. True Romance\n20. Natural Born Killers\n21. Fight Club\n22. American Psycho\n23. The Silence of the Lambs\n24. Se7en\n25. The Usual Suspects \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 176,
        ""total_token_count"": 253
      }
    }),
)"
Jim Reardon,You are a movie recommendation system.,"I am an Amerian fan of Jim Reardon. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Shawshank Redemption
3. Pulp Fiction
4. The Dark Knight
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. Forrest Gump
8. The Silence of the Lambs
9. Fight Club
10. Inception
11. The Matrix
12. Goodfellas
13. The Green Mile
14. Saving Private Ryan
15. The Usual Suspects
16. American Beauty
17. The Sixth Sense
18. Gladiator
19. The Departed
20. The Lion King
21. Titanic
22. Star Wars: Episode V - The Empire Strikes Back
23. The Avengers
24. Jurassic Park
25. Toy Story 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Shawshank Redemption\n3. Pulp Fiction\n4. The Dark Knight\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. Forrest Gump\n8. The Silence of the Lambs\n9. Fight Club\n10. Inception\n11. The Matrix\n12. Goodfellas\n13. The Green Mile\n14. Saving Private Ryan\n15. The Usual Suspects\n16. American Beauty\n17. The Sixth Sense\n18. Gladiator\n19. The Departed\n20. The Lion King\n21. Titanic\n22. Star Wars: Episode V - The Empire Strikes Back\n23. The Avengers\n24. Jurassic Park\n25. Toy Story \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 172,
        ""total_token_count"": 249
      }
    }),
)"
Wesley Archer,You are a movie recommendation system.,"I am an Amerian fan of Wesley Archer. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Grand Budapest Hotel
2. Moonrise Kingdom
3. Rushmore
4. The Royal Tenenbaums
5. Fantastic Mr. Fox
6. Isle of Dogs
7. The Darjeeling Limited
8. The Life Aquatic with Steve Zissou
9. The French Dispatch
10. The Talented Mr. Ripley
11. The Virgin Suicides
12. Marie Antoinette
13. Being John Malkovich
14. Adaptation.
15. Eternal Sunshine of the Spotless Mind
16. Her
17. Lost in Translation
18. In the Mood for Love
19. The Secret Life of Walter Mitty
20. The Truman Show
21. Fight Club
22. American Psycho
23. Memento
24. The Matrix
25. Blade Runner 2049 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Grand Budapest Hotel\n2. Moonrise Kingdom\n3. Rushmore\n4. The Royal Tenenbaums\n5. Fantastic Mr. Fox\n6. Isle of Dogs\n7. The Darjeeling Limited\n8. The Life Aquatic with Steve Zissou\n9. The French Dispatch\n10. The Talented Mr. Ripley\n11. The Virgin Suicides\n12. Marie Antoinette\n13. Being John Malkovich\n14. Adaptation.\n15. Eternal Sunshine of the Spotless Mind\n16. Her\n17. Lost in Translation\n18. In the Mood for Love\n19. The Secret Life of Walter Mitty\n20. The Truman Show\n21. Fight Club\n22. American Psycho\n23. Memento\n24. The Matrix\n25. Blade Runner 2049 \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 186,
        ""total_token_count"": 262
      }
    }),
)"
Calvin Wong,You are a movie recommendation system.,"I am an Amerian fan of Calvin Wong. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. Crazy Rich Asians
2. The Farewell
3. Shang-Chi and the Legend of the Ten Rings
4. Everything Everywhere All at Once
5. To All the Boys I've Loved Before
6. The Joy Luck Club
7. Flower Drum Song
8. The Wedding Banquet
9. Eat Drink Man Woman
10. Farewell My Concubine
11. In the Mood for Love
12. Crouching Tiger, Hidden Dragon
13. Hero
14. House of Flying Daggers
15. The Grandmaster
16. The Last Emperor
17. Memoirs of a Geisha
18. Slumdog Millionaire
19. The Namesake
20. Monsoon Wedding
21. Bend It Like Beckham
22. The Namesake
23. The Tiger Rising
24. The Green Knight
25. The Rider 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. Crazy Rich Asians\n2. The Farewell\n3. Shang-Chi and the Legend of the Ten Rings\n4. Everything Everywhere All at Once\n5. To All the Boys I've Loved Before\n6. The Joy Luck Club\n7. Flower Drum Song\n8. The Wedding Banquet\n9. Eat Drink Man Woman\n10. Farewell My Concubine\n11. In the Mood for Love\n12. Crouching Tiger, Hidden Dragon\n13. Hero\n14. House of Flying Daggers\n15. The Grandmaster\n16. The Last Emperor\n17. Memoirs of a Geisha\n18. Slumdog Millionaire\n19. The Namesake\n20. Monsoon Wedding\n21. Bend It Like Beckham\n22. The Namesake\n23. The Tiger Rising\n24. The Green Knight\n25. The Rider \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 192,
        ""total_token_count"": 268
      }
    }),
)"
Matt Shakman,You are a movie recommendation system.,"I am an Amerian fan of Matt Shakman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Little Mermaid
2.  WandaVision
3.  Captain Marvel
4.  The Great
5.  Game of Thrones
6.  The Office
7.  The Good Place
8.  The Morning Show
9.  Succession
10. Ted Lasso
11.  Severance
12.  Only Murders in the Building
13.  The Mandalorian
14.  The Falcon and the Winter Soldier
15.  Loki
16.  Hawkeye
17.  Moon Knight
18.  Ms. Marvel
19.  She-Hulk: Attorney at Law
20.  The Book of Boba Fett
21.  Andor
22.  The Lord of the Rings: The Rings of Power
23.  The Witcher
24.  Stranger Things
25.  House of the Dragon 
",an Amerian,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Little Mermaid\n2.  WandaVision\n3.  Captain Marvel\n4.  The Great\n5.  Game of Thrones\n6.  The Office\n7.  The Good Place\n8.  The Morning Show\n9.  Succession\n10. Ted Lasso\n11.  Severance\n12.  Only Murders in the Building\n13.  The Mandalorian\n14.  The Falcon and the Winter Soldier\n15.  Loki\n16.  Hawkeye\n17.  Moon Knight\n18.  Ms. Marvel\n19.  She-Hulk: Attorney at Law\n20.  The Book of Boba Fett\n21.  Andor\n22.  The Lord of the Rings: The Rings of Power\n23.  The Witcher\n24.  Stranger Things\n25.  House of the Dragon \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 193,
        ""total_token_count"": 270
      }
    }),
)"
