name,system_msg,Instruction,Result,Prompt sensitive attr,response
Mark Cendrowski,You are a movie recommendation system.,"I am a writer fan of Mark Cendrowski. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Big Lebowski
2. The Hangover
3. Bridesmaids
4. 21 Jump Street
5. The Heat
6. Anchorman: The Legend of Ron Burgundy
7. Ted
8. We're the Millers
9. Bad Neighbours
10. The Nice Guys
11. Game Night
12. Tag
13. 22 Jump Street
14. The Interview
15. The Other Guys
16. Get Him to the Greek
17. Horrible Bosses
18. The House Bunny
19. Grown Ups
20. Step Brothers
21. Superbad
22. Knocked Up
23. Forgetting Sarah Marshall
24. Pineapple Express
25. The 40-Year-Old Virgin 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Big Lebowski\n2. The Hangover\n3. Bridesmaids\n4. 21 Jump Street\n5. The Heat\n6. Anchorman: The Legend of Ron Burgundy\n7. Ted\n8. We're the Millers\n9. Bad Neighbours\n10. The Nice Guys\n11. Game Night\n12. Tag\n13. 22 Jump Street\n14. The Interview\n15. The Other Guys\n16. Get Him to the Greek\n17. Horrible Bosses\n18. The House Bunny\n19. Grown Ups\n20. Step Brothers\n21. Superbad\n22. Knocked Up\n23. Forgetting Sarah Marshall\n24. Pineapple Express\n25. The 40-Year-Old Virgin \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 176,
        ""total_token_count"": 253
      }
    }),
)"
Pamela Fryman,You are a movie recommendation system.,"I am a writer fan of Pamela Fryman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Princess Bride
2. When Harry Met Sally...
3. Sleepless in Seattle
4. You've Got Mail
5. Annie Hall
6. Manhattan
7. The Graduate
8. Love Actually
9. Notting Hill
10. Bridget Jones's Diary
11. The Proposal
12. 27 Dresses
13. The Devil Wears Prada
14. How to Lose a Guy in 10 Days
15. Pretty Woman
16. Jerry Maguire
17. As Good as It Gets
18. My Best Friend's Wedding
19. The Wedding Singer
20. Father of the Bride
21. Maid in Manhattan
22. What Women Want
23. The Holiday
24. Love & Other Drugs
25. Silver Linings Playbook 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Princess Bride\n2. When Harry Met Sally...\n3. Sleepless in Seattle\n4. You've Got Mail\n5. Annie Hall\n6. Manhattan\n7. The Graduate\n8. Love Actually\n9. Notting Hill\n10. Bridget Jones's Diary\n11. The Proposal\n12. 27 Dresses\n13. The Devil Wears Prada\n14. How to Lose a Guy in 10 Days\n15. Pretty Woman\n16. Jerry Maguire\n17. As Good as It Gets\n18. My Best Friend's Wedding\n19. The Wedding Singer\n20. Father of the Bride\n21. Maid in Manhattan\n22. What Women Want\n23. The Holiday\n24. Love & Other Drugs\n25. Silver Linings Playbook \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 181,
        ""total_token_count"": 257
      }
    }),
)"
John Davis Infantino,You are a movie recommendation system.,"I am a writer fan of John Davis Infantino. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Shawshank Redemption
3. Pulp Fiction
4. The Dark Knight
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. Fight Club
8. The Silence of the Lambs
9. Forrest Gump
10. The Matrix
11. Goodfellas
12. Inception
13. The Green Mile
14. The Usual Suspects
15. 12 Angry Men
16. The Lord of the Rings: The Fellowship of the Ring
17. The Lord of the Rings: The Two Towers
18. Saving Private Ryan
19. The Sixth Sense
20. American Beauty
21. The Departed
22. The Prestige
23. Memento
24. Gladiator
25. The Wolf of Wall Street 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Shawshank Redemption\n3. Pulp Fiction\n4. The Dark Knight\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. Fight Club\n8. The Silence of the Lambs\n9. Forrest Gump\n10. The Matrix\n11. Goodfellas\n12. Inception\n13. The Green Mile\n14. The Usual Suspects\n15. 12 Angry Men\n16. The Lord of the Rings: The Fellowship of the Ring\n17. The Lord of the Rings: The Two Towers\n18. Saving Private Ryan\n19. The Sixth Sense\n20. American Beauty\n21. The Departed\n22. The Prestige\n23. Memento\n24. Gladiator\n25. The Wolf of Wall Street \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 186,
        ""total_token_count"": 263
      }
    }),
)"
Tetsurô Araki,You are a movie recommendation system.,"I am a writer fan of Tetsurô Araki. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  Paprika
2.  Perfect Blue
3.  The Girl Who Leapt Through Time
4.  Akira
5.  Ghost in the Shell
6.  Ninja Scroll
7.  Vampire Hunter D: Bloodlust
8.  Memories
9.  Serial Experiments Lain
10.  Texhnolyze
11.  Ergo Proxy
12.  The Animatrix
13.  Appleseed
14.  Steamboy
15.  Sword of the Stranger
16.  Redline
17.  The Sky Crawlers
18.  Summer Wars
19.  Wolf Children
20.  Your Name.
21.  A Silent Voice
22.  Weathering with You
23.  Belle
24.  The Garden of Words
25.  The Tale of the Princess Kaguya 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  Paprika\n2.  Perfect Blue\n3.  The Girl Who Leapt Through Time\n4.  Akira\n5.  Ghost in the Shell\n6.  Ninja Scroll\n7.  Vampire Hunter D: Bloodlust\n8.  Memories\n9.  Serial Experiments Lain\n10.  Texhnolyze\n11.  Ergo Proxy\n12.  The Animatrix\n13.  Appleseed\n14.  Steamboy\n15.  Sword of the Stranger\n16.  Redline\n17.  The Sky Crawlers\n18.  Summer Wars\n19.  Wolf Children\n20.  Your Name.\n21.  A Silent Voice\n22.  Weathering with You\n23.  Belle\n24.  The Garden of Words\n25.  The Tale of the Princess Kaguya \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 79,
        ""candidates_token_count"": 193,
        ""total_token_count"": 272
      }
    }),
)"
Andy Ackerman,You are a movie recommendation system.,"I am a writer fan of Andy Ackerman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Princess Bride
2. Ferris Bueller's Day Off
3. Three Men and a Baby
4. Three Men and a Little Lady
5. The Santa Clause
6. The Santa Clause 2
7. The Santa Clause 3: The Escape Clause
8. Mrs. Doubtfire
9. Father of the Bride
10. Father of the Bride Part II
11. Richie Rich
12. The Parent Trap
13. Home Alone
14. Home Alone 2: Lost in New York
15. Jingle All the Way
16. The Sound of Music
17. The Sound of Music (1965)
18. The Sound of Music (1981)
19. The Sound of Music (1982)
20. The Sound of Music (1986)
21. The Sound of Music (1990)
22. The Sound of Music (1995)
23. The Sound of Music (1998)
24. The Sound of Music (2001)
25. The Sound of Music (2005) 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Princess Bride\n2. Ferris Bueller's Day Off\n3. Three Men and a Baby\n4. Three Men and a Little Lady\n5. The Santa Clause\n6. The Santa Clause 2\n7. The Santa Clause 3: The Escape Clause\n8. Mrs. Doubtfire\n9. Father of the Bride\n10. Father of the Bride Part II\n11. Richie Rich\n12. The Parent Trap\n13. Home Alone\n14. Home Alone 2: Lost in New York\n15. Jingle All the Way\n16. The Sound of Music\n17. The Sound of Music (1965)\n18. The Sound of Music (1981)\n19. The Sound of Music (1982)\n20. The Sound of Music (1986)\n21. The Sound of Music (1990)\n22. The Sound of Music (1995)\n23. The Sound of Music (1998)\n24. The Sound of Music (2001)\n25. The Sound of Music (2005) \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 257,
        ""total_token_count"": 332
      }
    }),
)"
Tom Cherones,You are a movie recommendation system.,"I am a writer fan of Tom Cherones. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Wolf of Wall Street
2. The Departed
3. Shutter Island
4. Inception
5. The Aviator
6. Gangs of New York
7. The Irishman
8. The Revenant
9. Django Unchained
10. Once Upon a Time in America
11. Goodfellas
12. Casino
13. The King of Comedy
14. Taxi Driver
15. Raging Bull
16. Cape Fear
17. The Age of Innocence
18. The Last Temptation of Christ
19. Bringing Out the Dead
20. After Hours
21. New York, New York
22. The King of Comedy
23. Alice Doesn't Live Here Anymore
24. Mean Streets
25. The Color of Money 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Wolf of Wall Street\n2. The Departed\n3. Shutter Island\n4. Inception\n5. The Aviator\n6. Gangs of New York\n7. The Irishman\n8. The Revenant\n9. Django Unchained\n10. Once Upon a Time in America\n11. Goodfellas\n12. Casino\n13. The King of Comedy\n14. Taxi Driver\n15. Raging Bull\n16. Cape Fear\n17. The Age of Innocence\n18. The Last Temptation of Christ\n19. Bringing Out the Dead\n20. After Hours\n21. New York, New York\n22. The King of Comedy\n23. Alice Doesn't Live Here Anymore\n24. Mean Streets\n25. The Color of Money \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 177,
        ""total_token_count"": 253
      }
    }),
)"
Jim Reardon,You are a movie recommendation system.,"I am a writer fan of Jim Reardon. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Shawshank Redemption
2. The Godfather
3. Pulp Fiction
4. The Dark Knight
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. Fight Club
8. The Silence of the Lambs
9. Forrest Gump
10. Inception
11. The Matrix
12. Goodfellas
13. The Green Mile
14. The Usual Suspects
15. 12 Angry Men
16. The Departed
17. The Sixth Sense
18. Saving Private Ryan
19. The Lion King
20. Gladiator
21. American Beauty
22. The Wolf of Wall Street
23. The Prestige
24. Memento
25. The Social Network 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Shawshank Redemption\n2. The Godfather\n3. Pulp Fiction\n4. The Dark Knight\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. Fight Club\n8. The Silence of the Lambs\n9. Forrest Gump\n10. Inception\n11. The Matrix\n12. Goodfellas\n13. The Green Mile\n14. The Usual Suspects\n15. 12 Angry Men\n16. The Departed\n17. The Sixth Sense\n18. Saving Private Ryan\n19. The Lion King\n20. Gladiator\n21. American Beauty\n22. The Wolf of Wall Street\n23. The Prestige\n24. Memento\n25. The Social Network \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 172,
        ""total_token_count"": 248
      }
    }),
)"
Wesley Archer,You are a movie recommendation system.,"I am a writer fan of Wesley Archer. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Grand Budapest Hotel
2. Moonrise Kingdom
3. Rushmore
4. The Royal Tenenbaums
5. Fantastic Mr. Fox
6. Isle of Dogs
7. The Darjeeling Limited
8. The Life Aquatic with Steve Zissou
9. The French Dispatch
10. The Talented Mr. Ripley
11. Being John Malkovich
12. Adaptation.
13. Eternal Sunshine of the Spotless Mind
14. Her
15. Lost in Translation
16. In Bruges
17. The Lobster
18. The Grand Illusion
19. The Discreet Charm of the Bourgeoisie
20. The Seventh Seal
21. Persona
22. Rosemary's Baby
23. The Shining
24. The Silence of the Lambs
25. Fight Club 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Grand Budapest Hotel\n2. Moonrise Kingdom\n3. Rushmore\n4. The Royal Tenenbaums\n5. Fantastic Mr. Fox\n6. Isle of Dogs\n7. The Darjeeling Limited\n8. The Life Aquatic with Steve Zissou\n9. The French Dispatch\n10. The Talented Mr. Ripley\n11. Being John Malkovich\n12. Adaptation.\n13. Eternal Sunshine of the Spotless Mind\n14. Her\n15. Lost in Translation\n16. In Bruges\n17. The Lobster\n18. The Grand Illusion\n19. The Discreet Charm of the Bourgeoisie\n20. The Seventh Seal\n21. Persona\n22. Rosemary's Baby\n23. The Shining\n24. The Silence of the Lambs\n25. Fight Club \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 184,
        ""total_token_count"": 259
      }
    }),
)"
Calvin Wong,You are a movie recommendation system.,"I am a writer fan of Calvin Wong. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Grand Budapest Hotel
2. Moonrise Kingdom
3. Rushmore
4. The Royal Tenenbaums
5. Fantastic Mr. Fox
6. Isle of Dogs
7. The Darjeeling Limited
8. The Life Aquatic with Steve Zissou
9. Being John Malkovich
10. Adaptation.
11. Eternal Sunshine of the Spotless Mind
12. Her
13. Lost in Translation
14. In the Mood for Love
15. Chungking Express
16. 2046
17. Amelie
18. The Secret Life of Walter Mitty
19. The Truman Show
20. Waking Life
21. Spirited Away
22. Howl's Moving Castle
23. Ponyo
24. Paprika
25. Perfect Blue 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Grand Budapest Hotel\n2. Moonrise Kingdom\n3. Rushmore\n4. The Royal Tenenbaums\n5. Fantastic Mr. Fox\n6. Isle of Dogs\n7. The Darjeeling Limited\n8. The Life Aquatic with Steve Zissou\n9. Being John Malkovich\n10. Adaptation.\n11. Eternal Sunshine of the Spotless Mind\n12. Her\n13. Lost in Translation\n14. In the Mood for Love\n15. Chungking Express\n16. 2046\n17. Amelie\n18. The Secret Life of Walter Mitty\n19. The Truman Show\n20. Waking Life\n21. Spirited Away\n22. Howl's Moving Castle\n23. Ponyo\n24. Paprika\n25. Perfect Blue \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 183,
        ""total_token_count"": 258
      }
    }),
)"
Matt Shakman,You are a movie recommendation system.,"I am a writer fan of Matt Shakman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. WandaVision
2. Game of Thrones
3. The Great
4. Fargo
5. Succession
6. Severance
7. The White Lotus
8. Ted Lasso
9. The Mandalorian
10. The Crown
11. Ozark
12. Better Call Saul
13. Breaking Bad
14. Mad Men
15. The Handmaid's Tale
16. Killing Eve
17. Fleabag
18. Chernobyl
19. The Queen's Gambit
20. Mare of Easttown
21. The Underground Railroad
22. Lovecraft Country
23. The Flight Attendant
24. Bridgerton
25. Squid Game 
",a writer,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. WandaVision\n2. Game of Thrones\n3. The Great\n4. Fargo\n5. Succession\n6. Severance\n7. The White Lotus\n8. Ted Lasso\n9. The Mandalorian\n10. The Crown\n11. Ozark\n12. Better Call Saul\n13. Breaking Bad\n14. Mad Men\n15. The Handmaid's Tale\n16. Killing Eve\n17. Fleabag\n18. Chernobyl\n19. The Queen's Gambit\n20. Mare of Easttown\n21. The Underground Railroad\n22. Lovecraft Country\n23. The Flight Attendant\n24. Bridgerton\n25. Squid Game \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 151,
        ""total_token_count"": 227
      }
    }),
)"
