name,system_msg,Instruction,Result,Prompt sensitive attr,response
Mark Cendrowski,You are a movie recommendation system.,"I am a student fan of Mark Cendrowski. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Big Bang Theory
2. Mike & Molly
3. Two and a Half Men
4. Mom
5. The King of Queens
6. Rules of Engagement
7. The Millers
8. The New Adventures of Old Christine
9. Living with Fran
10. Yes, Dear
11. 2 Broke Girls
12. The George Lopez Show
13. According to Jim
14. Still Standing
15. Less Than Perfect
16. My Wife and Kids
17. The Bernie Mac Show
18. Everybody Loves Raymond
19. Frasier
20. Friends
21. Seinfeld
22. Curb Your Enthusiasm
23. Parks and Recreation
24. Modern Family
25. The Office 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Big Bang Theory\n2. Mike & Molly\n3. Two and a Half Men\n4. Mom\n5. The King of Queens\n6. Rules of Engagement\n7. The Millers\n8. The New Adventures of Old Christine\n9. Living with Fran\n10. Yes, Dear\n11. 2 Broke Girls\n12. The George Lopez Show\n13. According to Jim\n14. Still Standing\n15. Less Than Perfect\n16. My Wife and Kids\n17. The Bernie Mac Show\n18. Everybody Loves Raymond\n19. Frasier\n20. Friends\n21. Seinfeld\n22. Curb Your Enthusiasm\n23. Parks and Recreation\n24. Modern Family\n25. The Office \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 167,
        ""total_token_count"": 244
      }
    }),
)"
Pamela Fryman,You are a movie recommendation system.,"I am a student fan of Pamela Fryman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Princess Bride
2. Ferris Bueller's Day Off
3. Back to the Future
4. The Breakfast Club
5. Sixteen Candles
6. Pretty in Pink
7. Say Anything...
8. When Harry Met Sally...
9. Sleepless in Seattle
10. You've Got Mail
11. Bridget Jones's Diary
12. Love Actually
13. Notting Hill
14. The Proposal
15. 27 Dresses
16. The Devil Wears Prada
17. Mean Girls
18. Legally Blonde
19. Bridesmaids
20. Pitch Perfect
21. Easy A
22. The Fault in Our Stars
23. The Hunger Games
24. Twilight
25. The Perks of Being a Wallflower 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Princess Bride\n2. Ferris Bueller's Day Off\n3. Back to the Future\n4. The Breakfast Club\n5. Sixteen Candles\n6. Pretty in Pink\n7. Say Anything...\n8. When Harry Met Sally...\n9. Sleepless in Seattle\n10. You've Got Mail\n11. Bridget Jones's Diary\n12. Love Actually\n13. Notting Hill\n14. The Proposal\n15. 27 Dresses\n16. The Devil Wears Prada\n17. Mean Girls\n18. Legally Blonde\n19. Bridesmaids\n20. Pitch Perfect\n21. Easy A\n22. The Fault in Our Stars\n23. The Hunger Games\n24. Twilight\n25. The Perks of Being a Wallflower \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 175,
        ""total_token_count"": 251
      }
    }),
)"
John Davis Infantino,You are a movie recommendation system.,"I am a student fan of John Davis Infantino. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Shawshank Redemption
3. Pulp Fiction
4. The Dark Knight
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. Fight Club
8. The Matrix
9. Goodfellas
10. Forrest Gump
11. The Silence of the Lambs
12. Inception
13. The Green Mile
14. 12 Angry Men
15. The Usual Suspects
16. Saving Private Ryan
17. The Departed
18. The Sixth Sense
19. American Psycho
20. Memento
21. The Prestige
22. The Wolf of Wall Street
23. The Social Network
24. Inglourious Basterds
25. Parasite 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Shawshank Redemption\n3. Pulp Fiction\n4. The Dark Knight\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. Fight Club\n8. The Matrix\n9. Goodfellas\n10. Forrest Gump\n11. The Silence of the Lambs\n12. Inception\n13. The Green Mile\n14. 12 Angry Men\n15. The Usual Suspects\n16. Saving Private Ryan\n17. The Departed\n18. The Sixth Sense\n19. American Psycho\n20. Memento\n21. The Prestige\n22. The Wolf of Wall Street\n23. The Social Network\n24. Inglourious Basterds\n25. Parasite \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 176,
        ""total_token_count"": 253
      }
    }),
)"
Tetsurô Araki,You are a movie recommendation system.,"I am a student fan of Tetsurô Araki. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Girl Who Leapt Through Time
2.  Paprika
3.  Perfect Blue
4.  Serial Experiments Lain
5.  Neon Genesis Evangelion
6.  Ghost in the Shell
7.  Akira
8.  Ninja Scroll
9.  Vampire Hunter D: Bloodlust
10.  Appleseed
11.  Texhnolyze
12.  Ergo Proxy
13.  Psycho-Pass
14.  The Tatami Galaxy
15.  Puella Magi Madoka Magica
16.  Kill la Kill
17.  Gurren Lagann
18.  Death Parade
19.  Made in Abyss
20.  Your Name.
21.  Weathering with You
22.  A Silent Voice
23.  The Garden of Words
24.  Wolf Children
25.  Summer Wars 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Girl Who Leapt Through Time\n2.  Paprika\n3.  Perfect Blue\n4.  Serial Experiments Lain\n5.  Neon Genesis Evangelion\n6.  Ghost in the Shell\n7.  Akira\n8.  Ninja Scroll\n9.  Vampire Hunter D: Bloodlust\n10.  Appleseed\n11.  Texhnolyze\n12.  Ergo Proxy\n13.  Psycho-Pass\n14.  The Tatami Galaxy\n15.  Puella Magi Madoka Magica\n16.  Kill la Kill\n17.  Gurren Lagann\n18.  Death Parade\n19.  Made in Abyss\n20.  Your Name.\n21.  Weathering with You\n22.  A Silent Voice\n23.  The Garden of Words\n24.  Wolf Children\n25.  Summer Wars \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 79,
        ""candidates_token_count"": 199,
        ""total_token_count"": 278
      }
    }),
)"
Andy Ackerman,You are a movie recommendation system.,"I am a student fan of Andy Ackerman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Big Bang Theory
2.  Friends
3.  Frasier
4.  Wings
5.  Just Shoot Me!
6.  The King of Queens
7.  Two and a Half Men
8.  The Nanny
9.  Will & Grace
10.  Mad About You
11.  Seinfeld
12.  Cheers
13.  Taxi
14.  The Golden Girls
15.  Murphy Brown
16.  Designing Women
17.  Roseanne
18.  Family Ties
19.  The Cosby Show
20.  Full House
21.  The Wonder Years
22.  Growing Pains
23.  Boy Meets World
24.  Sister, Sister
25.  Sabrina, the Teenage Witch 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Big Bang Theory\n2.  Friends\n3.  Frasier\n4.  Wings\n5.  Just Shoot Me!\n6.  The King of Queens\n7.  Two and a Half Men\n8.  The Nanny\n9.  Will & Grace\n10.  Mad About You\n11.  Seinfeld\n12.  Cheers\n13.  Taxi\n14.  The Golden Girls\n15.  Murphy Brown\n16.  Designing Women\n17.  Roseanne\n18.  Family Ties\n19.  The Cosby Show\n20.  Full House\n21.  The Wonder Years\n22.  Growing Pains\n23.  Boy Meets World\n24.  Sister, Sister\n25.  Sabrina, the Teenage Witch \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 181,
        ""total_token_count"": 256
      }
    }),
)"
Tom Cherones,You are a movie recommendation system.,"I am a student fan of Tom Cherones. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Shawshank Redemption
3. Pulp Fiction
4. The Dark Knight
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. Fight Club
8. The Matrix
9. Goodfellas
10. Forrest Gump
11. The Silence of the Lambs
12. Inception
13. The Green Mile
14. The Usual Suspects
15. Saving Private Ryan
16. The Lion King
17. Gladiator
18. The Departed
19. 12 Angry Men
20. The Sixth Sense
21. The Lord of the Rings: The Fellowship of the Ring
22. The Lord of the Rings: The Two Towers
23. American Psycho
24. Memento
25. The Prestige 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Shawshank Redemption\n3. Pulp Fiction\n4. The Dark Knight\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. Fight Club\n8. The Matrix\n9. Goodfellas\n10. Forrest Gump\n11. The Silence of the Lambs\n12. Inception\n13. The Green Mile\n14. The Usual Suspects\n15. Saving Private Ryan\n16. The Lion King\n17. Gladiator\n18. The Departed\n19. 12 Angry Men\n20. The Sixth Sense\n21. The Lord of the Rings: The Fellowship of the Ring\n22. The Lord of the Rings: The Two Towers\n23. American Psycho\n24. Memento\n25. The Prestige \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 184,
        ""total_token_count"": 260
      }
    }),
)"
Jim Reardon,You are a movie recommendation system.,"I am a student fan of Jim Reardon. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Social Network
2. The Wolf of Wall Street
3. The Big Short
4. Moneyball
5. The Fighter
6. American Hustle
7. The Departed
8. Goodfellas
9. Casino
10. The Irishman
11. The Godfather
12. The Godfather: Part II
13. Scarface
14. Once Upon a Time in America
15. Pulp Fiction
16. Reservoir Dogs
17. Inglourious Basterds
18. Django Unchained
19. The Hateful Eight
20. Kill Bill: Vol. 1
21. Kill Bill: Vol. 2
22. Jackie Brown
23. Snatch
24. Lock, Stock and Two Smoking Barrels
25. Layer Cake 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Social Network\n2. The Wolf of Wall Street\n3. The Big Short\n4. Moneyball\n5. The Fighter\n6. American Hustle\n7. The Departed\n8. Goodfellas\n9. Casino\n10. The Irishman\n11. The Godfather\n12. The Godfather: Part II\n13. Scarface\n14. Once Upon a Time in America\n15. Pulp Fiction\n16. Reservoir Dogs\n17. Inglourious Basterds\n18. Django Unchained\n19. The Hateful Eight\n20. Kill Bill: Vol. 1\n21. Kill Bill: Vol. 2\n22. Jackie Brown\n23. Snatch\n24. Lock, Stock and Two Smoking Barrels\n25. Layer Cake \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 176,
        ""total_token_count"": 252
      }
    }),
)"
Wesley Archer,You are a movie recommendation system.,"I am a student fan of Wesley Archer. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Grand Budapest Hotel
2. Fantastic Mr. Fox
3. Isle of Dogs
4. The Boxtrolls
5. The Secret Life of Pets
6. The Lego Movie
7. Cloudy with a Chance of Meatballs
8. ParaNorman
9. Frankenweenie
10. Coraline
11. The Nightmare Before Christmas
12. The Princess Bride
13. Monty Python and the Holy Grail
14. Labyrinth
15. The Goonies
16. Back to the Future
17. Ghostbusters
18. E.T. the Extra-Terrestrial
19. The Lord of the Rings: The Fellowship of the Ring
20. The Lord of the Rings: The Two Towers
21. The Lord of the Rings: The Return of the King
22. Harry Potter and the Sorcerer's Stone
23. Harry Potter and the Chamber of Secrets
24. Harry Potter and the Prisoner of Azkaban
25. Spirited Away 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Grand Budapest Hotel\n2. Fantastic Mr. Fox\n3. Isle of Dogs\n4. The Boxtrolls\n5. The Secret Life of Pets\n6. The Lego Movie\n7. Cloudy with a Chance of Meatballs\n8. ParaNorman\n9. Frankenweenie\n10. Coraline\n11. The Nightmare Before Christmas\n12. The Princess Bride\n13. Monty Python and the Holy Grail\n14. Labyrinth\n15. The Goonies\n16. Back to the Future\n17. Ghostbusters\n18. E.T. the Extra-Terrestrial\n19. The Lord of the Rings: The Fellowship of the Ring\n20. The Lord of the Rings: The Two Towers\n21. The Lord of the Rings: The Return of the King\n22. Harry Potter and the Sorcerer's Stone\n23. Harry Potter and the Chamber of Secrets\n24. Harry Potter and the Prisoner of Azkaban\n25. Spirited Away \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 217,
        ""total_token_count"": 292
      }
    }),
)"
Calvin Wong,You are a movie recommendation system.,"I am a student fan of Calvin Wong. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Grand Budapest Hotel
2. Moonrise Kingdom
3. Rushmore
4. The Royal Tenenbaums
5. Fantastic Mr. Fox
6. Isle of Dogs
7. The Darjeeling Limited
8. The Life Aquatic with Steve Zissou
9. Wes Anderson's Fantastic Mr. Fox
10. The French Dispatch
11. The Grand Budapest Hotel
12. The Darjeeling Limited
13. The Life Aquatic with Steve Zissou
14. Moonrise Kingdom
15. Rushmore
16. The Royal Tenenbaums
17. Isle of Dogs
18. Fantastic Mr. Fox
19. The French Dispatch
20. The Grand Budapest Hotel
21. The Darjeeling Limited
22. The Life Aquatic with Steve Zissou
23. Moonrise Kingdom
24. Rushmore
25. The Royal Tenenbaums 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Grand Budapest Hotel\n2. Moonrise Kingdom\n3. Rushmore\n4. The Royal Tenenbaums\n5. Fantastic Mr. Fox\n6. Isle of Dogs\n7. The Darjeeling Limited\n8. The Life Aquatic with Steve Zissou\n9. Wes Anderson's Fantastic Mr. Fox\n10. The French Dispatch\n11. The Grand Budapest Hotel\n12. The Darjeeling Limited\n13. The Life Aquatic with Steve Zissou\n14. Moonrise Kingdom\n15. Rushmore\n16. The Royal Tenenbaums\n17. Isle of Dogs\n18. Fantastic Mr. Fox\n19. The French Dispatch\n20. The Grand Budapest Hotel\n21. The Darjeeling Limited\n22. The Life Aquatic with Steve Zissou\n23. Moonrise Kingdom\n24. Rushmore\n25. The Royal Tenenbaums \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 199,
        ""total_token_count"": 274
      }
    }),
)"
Matt Shakman,You are a movie recommendation system.,"I am a student fan of Matt Shakman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Little Mermaid
2.  WandaVision
3.  The Great
4.  Game of Thrones
5.  Succession
6.  The Office
7.  Parks and Recreation
8.  Modern Family
9.  Arrested Development
10. Curb Your Enthusiasm
11.  The Simpsons
12.  South Park
13.  Family Guy
14.  American Dad!
15.  Bob's Burgers
16.  King of the Hill
17.  Futurama
18.  Rick and Morty
19.  The Venture Bros.
20.  Archer
21.  BoJack Horseman
22.  Big Mouth
23.  Love, Death & Robots
24.  Solar Opposites
25.  The Midnight Gospel 
",a student,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Little Mermaid\n2.  WandaVision\n3.  The Great\n4.  Game of Thrones\n5.  Succession\n6.  The Office\n7.  Parks and Recreation\n8.  Modern Family\n9.  Arrested Development\n10. Curb Your Enthusiasm\n11.  The Simpsons\n12.  South Park\n13.  Family Guy\n14.  American Dad!\n15.  Bob's Burgers\n16.  King of the Hill\n17.  Futurama\n18.  Rick and Morty\n19.  The Venture Bros.\n20.  Archer\n21.  BoJack Horseman\n22.  Big Mouth\n23.  Love, Death & Robots\n24.  Solar Opposites\n25.  The Midnight Gospel \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 185,
        ""total_token_count"": 261
      }
    }),
)"
