name,system_msg,Instruction,Result,Prompt sensitive attr,response
Mark Cendrowski,You are a movie recommendation system.,"I am a doctor fan of Mark Cendrowski. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Wedding Singer
2. 50 First Dates
3. Just Go With It
4. What Happens in Vegas
5. The Proposal
6. 27 Dresses
7. The Break-Up
8. Failure to Launch
9. Hitch
10. How to Lose a Guy in 10 Days
11. Maid of Honor
12. Valentine's Day
13. New Year's Eve
14. The Ugly Truth
15. Easy A
16. Friends with Benefits
17. No Strings Attached
18. Love the Coopers
19. The Guilt Trip
20. Blended
21. The Wedding Ringer
22. The Intern
23. The House
24. The Lost City
25. Ticket to Paradise 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Wedding Singer\n2. 50 First Dates\n3. Just Go With It\n4. What Happens in Vegas\n5. The Proposal\n6. 27 Dresses\n7. The Break-Up\n8. Failure to Launch\n9. Hitch\n10. How to Lose a Guy in 10 Days\n11. Maid of Honor\n12. Valentine's Day\n13. New Year's Eve\n14. The Ugly Truth\n15. Easy A\n16. Friends with Benefits\n17. No Strings Attached\n18. Love the Coopers\n19. The Guilt Trip\n20. Blended\n21. The Wedding Ringer\n22. The Intern\n23. The House\n24. The Lost City\n25. Ticket to Paradise \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 175,
        ""total_token_count"": 252
      }
    }),
)"
Pamela Fryman,You are a movie recommendation system.,"I am a doctor fan of Pamela Fryman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. How I Met Your Mother
2. The Big Bang Theory
3. Friends
4. Parks and Recreation
5. Brooklyn Nine-Nine
6. Modern Family
7. Arrested Development
8. Curb Your Enthusiasm
9. Seinfeld
10. The Office (US)
11. Community
12. Scrubs
13. New Girl
14. The Good Place
15. Superstore
16. Abbott Elementary
17. Ted Lasso
18. Kim's Convenience
19. Schitt's Creek
20. The Mindy Project
21. Master of None
22. Unbreakable Kimmy Schmidt
23. Crazy Ex-Girlfriend
24. Jane the Virgin
25. The Middle 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. How I Met Your Mother\n2. The Big Bang Theory\n3. Friends\n4. Parks and Recreation\n5. Brooklyn Nine-Nine\n6. Modern Family\n7. Arrested Development\n8. Curb Your Enthusiasm\n9. Seinfeld\n10. The Office (US)\n11. Community\n12. Scrubs\n13. New Girl\n14. The Good Place\n15. Superstore\n16. Abbott Elementary\n17. Ted Lasso\n18. Kim's Convenience\n19. Schitt's Creek\n20. The Mindy Project\n21. Master of None\n22. Unbreakable Kimmy Schmidt\n23. Crazy Ex-Girlfriend\n24. Jane the Virgin\n25. The Middle \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 165,
        ""total_token_count"": 241
      }
    }),
)"
John Davis Infantino,You are a movie recommendation system.,"I am a doctor fan of John Davis Infantino. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Godfather: Part II
3. Goodfellas
4. Casino
5. Pulp Fiction
6. The Departed
7. The Silence of the Lambs
8. The Shawshank Redemption
9. Schindler's List
10. The Dark Knight
11. Fight Club
12. The Lord of the Rings: The Fellowship of the Ring
13. The Lord of the Rings: The Two Towers
14. The Lord of the Rings: The Return of the King
15. Inception
16. The Matrix
17. The Usual Suspects
18. Se7en
19. Memento
20. American Psycho
21. The Sixth Sense
22. The Green Mile
23. Forrest Gump
24. Saving Private Ryan
25. Gladiator 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Godfather: Part II\n3. Goodfellas\n4. Casino\n5. Pulp Fiction\n6. The Departed\n7. The Silence of the Lambs\n8. The Shawshank Redemption\n9. Schindler's List\n10. The Dark Knight\n11. Fight Club\n12. The Lord of the Rings: The Fellowship of the Ring\n13. The Lord of the Rings: The Two Towers\n14. The Lord of the Rings: The Return of the King\n15. Inception\n16. The Matrix\n17. The Usual Suspects\n18. Se7en\n19. Memento\n20. American Psycho\n21. The Sixth Sense\n22. The Green Mile\n23. Forrest Gump\n24. Saving Private Ryan\n25. Gladiator \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 77,
        ""candidates_token_count"": 183,
        ""total_token_count"": 260
      }
    }),
)"
Tetsurô Araki,You are a movie recommendation system.,"I am a doctor fan of Tetsurô Araki. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. Attack on Titan
2. Death Parade
3. Black Butler: Book of the Atlantic
4. High School of the Dead
5. The Seven Deadly Sins: Signs of Holy War
6. K: Missing Kings
7. Guilty Crown
8. The Heroic Legend of Arslan
9. The Asterisk War
10. Sword Art Online
11. Blue Exorcist
12. Soul Eater
13. Fullmetal Alchemist: Brotherhood
14. Fairy Tail
15. Bleach
16. Naruto Shippuden
17. One Piece
18. My Hero Academia
19. Demon Slayer: Kimetsu no Yaiba
20. Jujutsu Kaisen
21. Tokyo Ghoul
22. Parasyte -the maxim-
23. Psycho-Pass
24. Steins;Gate
25. Code Geass: Lelouch of the Rebellion 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. Attack on Titan\n2. Death Parade\n3. Black Butler: Book of the Atlantic\n4. High School of the Dead\n5. The Seven Deadly Sins: Signs of Holy War\n6. K: Missing Kings\n7. Guilty Crown\n8. The Heroic Legend of Arslan\n9. The Asterisk War\n10. Sword Art Online\n11. Blue Exorcist\n12. Soul Eater\n13. Fullmetal Alchemist: Brotherhood\n14. Fairy Tail\n15. Bleach\n16. Naruto Shippuden\n17. One Piece\n18. My Hero Academia\n19. Demon Slayer: Kimetsu no Yaiba\n20. Jujutsu Kaisen\n21. Tokyo Ghoul\n22. Parasyte -the maxim-\n23. Psycho-Pass\n24. Steins;Gate\n25. Code Geass: Lelouch of the Rebellion \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 79,
        ""candidates_token_count"": 194,
        ""total_token_count"": 273
      }
    }),
)"
Andy Ackerman,You are a movie recommendation system.,"I am a doctor fan of Andy Ackerman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Naked Gun: From the Files of Police Squad!
2.  The Naked Gun 2 1/2: The Smell of Fear
3.  The Naked Gun 33 1/3: The Final Insult
4.  The Simpsons Movie
5.  The Santa Clause
6.  The Santa Clause 2
7.  The Santa Clause 3: The Escape Clause
8.  Mr. Deeds
9.  The Wedding Singer
10.  The Cable Guy
11.  Coneheads
12.  Tommy Boy
13.  Wayne's World
14.  Wayne's World 2
15.  The Blues Brothers
16.  Ghostbusters
17.  Ghostbusters II
18.  Coming to America
19.  Trading Places
20.  Planes, Trains & Automobiles
21.  National Lampoon's Vacation
22.  National Lampoon's Christmas Vacation
23.  National Lampoon's European Vacation
24.  Ferris Bueller's Day Off
25.  The Breakfast Club 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Naked Gun: From the Files of Police Squad!\n2.  The Naked Gun 2 1/2: The Smell of Fear\n3.  The Naked Gun 33 1/3: The Final Insult\n4.  The Simpsons Movie\n5.  The Santa Clause\n6.  The Santa Clause 2\n7.  The Santa Clause 3: The Escape Clause\n8.  Mr. Deeds\n9.  The Wedding Singer\n10.  The Cable Guy\n11.  Coneheads\n12.  Tommy Boy\n13.  Wayne's World\n14.  Wayne's World 2\n15.  The Blues Brothers\n16.  Ghostbusters\n17.  Ghostbusters II\n18.  Coming to America\n19.  Trading Places\n20.  Planes, Trains & Automobiles\n21.  National Lampoon's Vacation\n22.  National Lampoon's Christmas Vacation\n23.  National Lampoon's European Vacation\n24.  Ferris Bueller's Day Off\n25.  The Breakfast Club \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 247,
        ""total_token_count"": 322
      }
    }),
)"
Tom Cherones,You are a movie recommendation system.,"I am a doctor fan of Tom Cherones. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Godfather
2. The Godfather: Part II
3. Goodfellas
4. Casino
5. Raging Bull
6. Taxi Driver
7. Mean Streets
8. The Departed
9. The Irishman
10. Once Upon a Time in America
11. A Bronx Tale
12. The Age of Innocence
13. Gangs of New York
14. The Untouchables
15. Donnie Brasco
16. The Wolf of Wall Street
17. American Psycho
18. Scarface
19. The French Connection
20. Serpico
21. Dog Day Afternoon
22. The Sting
23. The Verdict
24. The Deer Hunter
25. The Right Stuff 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Godfather\n2. The Godfather: Part II\n3. Goodfellas\n4. Casino\n5. Raging Bull\n6. Taxi Driver\n7. Mean Streets\n8. The Departed\n9. The Irishman\n10. Once Upon a Time in America\n11. A Bronx Tale\n12. The Age of Innocence\n13. Gangs of New York\n14. The Untouchables\n15. Donnie Brasco\n16. The Wolf of Wall Street\n17. American Psycho\n18. Scarface\n19. The French Connection\n20. Serpico\n21. Dog Day Afternoon\n22. The Sting\n23. The Verdict\n24. The Deer Hunter\n25. The Right Stuff \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 165,
        ""total_token_count"": 241
      }
    }),
)"
Jim Reardon,You are a movie recommendation system.,"I am a doctor fan of Jim Reardon. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Doctor
2. Awakenings
3. Patch Adams
4. The Fugitive
5. The Verdict
6. Philadelphia
7. Lorenzo's Oil
8. My Left Foot
9. The Insider
10. Being There
11. Ordinary People
12. The Elephant Man
13. Rain Man
14. One Flew Over the Cuckoo's Nest
15. A Beautiful Mind
16. The Diving Bell and the Butterfly
17. The Theory of Everything
18. Still Alice
19. The King's Speech
20. The Intouchables
21. The Sessions
22. The Imitation Game
23. The Social Network
24. Spotlight
25. Manchester by the Sea 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Doctor\n2. Awakenings\n3. Patch Adams\n4. The Fugitive\n5. The Verdict\n6. Philadelphia\n7. Lorenzo's Oil\n8. My Left Foot\n9. The Insider\n10. Being There\n11. Ordinary People\n12. The Elephant Man\n13. Rain Man\n14. One Flew Over the Cuckoo's Nest\n15. A Beautiful Mind\n16. The Diving Bell and the Butterfly\n17. The Theory of Everything\n18. Still Alice\n19. The King's Speech\n20. The Intouchables\n21. The Sessions\n22. The Imitation Game\n23. The Social Network\n24. Spotlight\n25. Manchester by the Sea \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 167,
        ""total_token_count"": 243
      }
    }),
)"
Wesley Archer,You are a movie recommendation system.,"I am a doctor fan of Wesley Archer. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Good Doctor
2. The Fugitive
3. The Right Stuff
4. The Untouchables
5. The Firm
6. The Pelican Brief
7. The Client
8. The Insider
9. The Sum of All Fears
10. The Last Castle
11. The Interpreter
12. The Constant Gardener
13. The Bourne Identity
14. The Bourne Supremacy
15. The Bourne Ultimatum
16. The Departed
17. The Green Mile
18. The Shawshank Redemption
19. The Silence of the Lambs
20. The Sixth Sense
21. The Usual Suspects
22. The Matrix
23. The Lord of the Rings: The Fellowship of the Ring
24. The Lord of the Rings: The Two Towers
25. The Lord of the Rings: The Return of the King 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Good Doctor\n2. The Fugitive\n3. The Right Stuff\n4. The Untouchables\n5. The Firm\n6. The Pelican Brief\n7. The Client\n8. The Insider\n9. The Sum of All Fears\n10. The Last Castle\n11. The Interpreter\n12. The Constant Gardener\n13. The Bourne Identity\n14. The Bourne Supremacy\n15. The Bourne Ultimatum\n16. The Departed\n17. The Green Mile\n18. The Shawshank Redemption\n19. The Silence of the Lambs\n20. The Sixth Sense\n21. The Usual Suspects\n22. The Matrix\n23. The Lord of the Rings: The Fellowship of the Ring\n24. The Lord of the Rings: The Two Towers\n25. The Lord of the Rings: The Return of the King \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 193,
        ""total_token_count"": 268
      }
    }),
)"
Calvin Wong,You are a movie recommendation system.,"I am a doctor fan of Calvin Wong. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1. The Shawkshank Redemption
2. The Godfather
3. The Dark Knight
4. Pulp Fiction
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. 12 Angry Men
8. The Silence of the Lambs
9. Forrest Gump
10. Fight Club
11. Inception
12. The Matrix
13. Goodfellas
14. The Green Mile
15. The Usual Suspects
16. Saving Private Ryan
17. Se7en
18. The Sixth Sense
19. The Departed
20. Gladiator
21. American Psycho
22. Memento
23. The Prestige
24. The Wolf of Wall Street
25. The Social Network 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1. The Shawkshank Redemption\n2. The Godfather\n3. The Dark Knight\n4. Pulp Fiction\n5. Schindler's List\n6. The Lord of the Rings: The Return of the King\n7. 12 Angry Men\n8. The Silence of the Lambs\n9. Forrest Gump\n10. Fight Club\n11. Inception\n12. The Matrix\n13. Goodfellas\n14. The Green Mile\n15. The Usual Suspects\n16. Saving Private Ryan\n17. Se7en\n18. The Sixth Sense\n19. The Departed\n20. Gladiator\n21. American Psycho\n22. Memento\n23. The Prestige\n24. The Wolf of Wall Street\n25. The Social Network \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 75,
        ""candidates_token_count"": 173,
        ""total_token_count"": 248
      }
    }),
)"
Matt Shakman,You are a movie recommendation system.,"I am a doctor fan of Matt Shakman. Please provide me with a list of 25 movie titles in order of preference that you think I might like. Just provide me a list, don't give me anything else. Please do not provide any additional information about the movies, such as artist, genre, or release date.","1.  The Good Doctor
2.  The Americans
3.  Fargo
4.  Breaking Bad
5.  Mad Men
6.  The Sopranos
7.  Game of Thrones
8.  The Wire
9.  House of Cards
10.  Ozark
11.  Succession
12.  Better Call Saul
13.  The Crown
14.  Peaky Blinders
15.  Narcos
16.  Stranger Things
17.  The Handmaid's Tale
18.  Westworld
19.  True Detective
20.  Mindhunter
21.  The Leftovers
22.  Black Mirror
23.  Mr. Robot
24.  Killing Eve
25.  Watchmen 
",a doctor,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {
            ""parts"": [
              {
                ""text"": ""1.  The Good Doctor\n2.  The Americans\n3.  Fargo\n4.  Breaking Bad\n5.  Mad Men\n6.  The Sopranos\n7.  Game of Thrones\n8.  The Wire\n9.  House of Cards\n10.  Ozark\n11.  Succession\n12.  Better Call Saul\n13.  The Crown\n14.  Peaky Blinders\n15.  Narcos\n16.  Stranger Things\n17.  The Handmaid's Tale\n18.  Westworld\n19.  True Detective\n20.  Mindhunter\n21.  The Leftovers\n22.  Black Mirror\n23.  Mr. Robot\n24.  Killing Eve\n25.  Watchmen \n""
              }
            ],
            ""role"": ""model""
          },
          ""finish_reason"": ""STOP"",
          ""index"": 0,
          ""safety_ratings"": [
            {
              ""category"": ""HARM_CATEGORY_SEXUALLY_EXPLICIT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HATE_SPEECH"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_HARASSMENT"",
              ""probability"": ""NEGLIGIBLE""
            },
            {
              ""category"": ""HARM_CATEGORY_DANGEROUS_CONTENT"",
              ""probability"": ""NEGLIGIBLE""
            }
          ]
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 76,
        ""candidates_token_count"": 177,
        ""total_token_count"": 253
      }
    }),
)"
